Notes,State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Alabama,1,"Nasopharynx, unspecified - Malignant neoplasms",C11.9,20,7840781,0.3
,Alabama,1,"Pharynx, unspecified - Malignant neoplasms",C14.0,68,7840781,0.9
,Alabama,1,"Oesophagus, unspecified - Malignant neoplasms",C15.9,417,7840781,5.3
,Alabama,1,Cardia - Malignant neoplasms,C16.0,21,7840781,0.3
,Alabama,1,"Stomach, unspecified - Malignant neoplasms",C16.9,376,7840781,4.8
,Alabama,1,Duodenum - Malignant neoplasms,C17.0,18,7840781,Unreliable
,Alabama,1,"Small intestine, unspecified - Malignant neoplasms",C17.9,22,7840781,0.3
,Alabama,1,Appendix - Malignant neoplasms,C18.1,27,7840781,0.3
,Alabama,1,Sigmoid colon - Malignant neoplasms,C18.7,11,7840781,Unreliable
,Alabama,1,"Colon, unspecified - Malignant neoplasms",C18.9,1449,7840781,18.5
,Alabama,1,Malignant neoplasm of rectosigmoid junction,C19,120,7840781,1.5
,Alabama,1,Malignant neoplasm of rectum,C20,165,7840781,2.1
,Alabama,1,"Anus, unspecified - Malignant neoplasms",C21.0,29,7840781,0.4
,Alabama,1,Liver cell carcinoma - Malignant neoplasms,C22.0,244,7840781,3.1
,Alabama,1,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,174,7840781,2.2
,Alabama,1,"Liver, unspecified - Malignant neoplasms",C22.9,373,7840781,4.8
,Alabama,1,Malignant neoplasm of gallbladder,C23,63,7840781,0.8
,Alabama,1,Extrahepatic bile duct - Malignant neoplasms,C24.0,18,7840781,Unreliable
,Alabama,1,"Biliary tract, unspecified - Malignant neoplasms",C24.9,18,7840781,Unreliable
,Alabama,1,"Pancreas, unspecified - Malignant neoplasms",C25.9,1339,7840781,17.1
,Alabama,1,"Intestinal tract, part unspecified - Malignant neoplasms",C26.0,12,7840781,Unreliable
,Alabama,1,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,33,7840781,0.4
,Alabama,1,"Accessory sinus, unspecified - Malignant neoplasms",C31.9,10,7840781,Unreliable
,Alabama,1,Supraglottis - Malignant neoplasms,C32.1,10,7840781,Unreliable
,Alabama,1,"Larynx, unspecified - Malignant neoplasms",C32.9,132,7840781,1.7
,Alabama,1,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,49,7840781,0.6
,Alabama,1,"Lower lobe, bronchus or lung - Malignant neoplasms",C34.3,17,7840781,Unreliable
,Alabama,1,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,6007,7840781,76.6
,Alabama,1,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,45,7840781,0.6
,Alabama,1,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,274,7840781,3.5
,Alabama,1,Skin of other and unspecified parts of face - Malignant neoplasms,C44.3,10,7840781,Unreliable
,Alabama,1,Skin of scalp and neck - Malignant neoplasms,C44.4,36,7840781,0.5
,Alabama,1,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,65,7840781,0.8
,Alabama,1,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,56,7840781,0.7
,Alabama,1,Retroperitoneum - Malignant neoplasms,C48.0,10,7840781,Unreliable
,Alabama,1,"Peritoneum, unspecified - Malignant neoplasms",C48.2,13,7840781,Unreliable
,Alabama,1,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,115,7840781,1.5
,Alabama,1,"Breast, unspecified - Malignant neoplasms",C50.9,1481,7840781,18.9
,Alabama,1,"Vulva, unspecified - Malignant neoplasms",C51.9,29,7840781,0.4
,Alabama,1,Malignant neoplasm of vagina,C52,16,7840781,Unreliable
,Alabama,1,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,185,7840781,2.4
,Alabama,1,Endometrium - Malignant neoplasms,C54.1,111,7840781,1.4
,Alabama,1,"Malignant neoplasm of uterus, part unspecified",C55,118,7840781,1.5
,Alabama,1,Malignant neoplasm of ovary,C56,521,7840781,6.6
,Alabama,1,"Penis, unspecified - Malignant neoplasms",C60.9,14,7840781,Unreliable
,Alabama,1,Malignant neoplasm of prostate,C61,1005,7840781,12.8
,Alabama,1,"Testis, unspecified - Malignant neoplasms",C62.9,16,7840781,Unreliable
,Alabama,1,"Malignant neoplasm of kidney, except renal pelvis",C64,454,7840781,5.8
,Alabama,1,Malignant neoplasm of ureter,C66,13,7840781,Unreliable
,Alabama,1,"Bladder, unspecified - Malignant neoplasms",C67.9,452,7840781,5.8
,Alabama,1,"Brain, unspecified - Malignant neoplasms",C71.9,550,7840781,7
,Alabama,1,Malignant neoplasm of thyroid gland,C73,50,7840781,0.6
,Alabama,1,"Adrenal gland, unspecified - Malignant neoplasms",C74.9,21,7840781,0.3
,Alabama,1,"Head, face and neck - Malignant neoplasms",C76.0,34,7840781,0.4
,Alabama,1,Abdomen - Malignant neoplasms,C76.2,19,7840781,Unreliable
,Alabama,1,Secondary malignant neoplasm of lung - Malignant neoplasms,C78.0,11,7840781,Unreliable
,Alabama,1,Secondary malignant neoplasm of retroperitoneum and peritoneum - Malignant neoplasms,C78.6,15,7840781,Unreliable
,Alabama,1,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,43,7840781,0.5
,Alabama,1,Secondary malignant neoplasm of brain and cerebral meninges - Malignant neoplasms,C79.3,25,7840781,0.3
,Alabama,1,Secondary malignant neoplasm of bone and bone marrow - Malignant neoplasms,C79.5,17,7840781,Unreliable
,Alabama,1,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,152,7840781,1.9
,Alabama,1,Malignant neoplasm without specification of site,C80,1041,7840781,13.3
,Alabama,1,"Hodgkin disease, unspecified",C81.9,38,7840781,0.5
,Alabama,1,Non-Hodgkin lymphoma small cleaved cell (diffuse),C83.1,27,7840781,0.3
,Alabama,1,Non-Hodgkin lymphoma large cell (diffuse),C83.3,58,7840781,0.7
,Alabama,1,Other and unspecified T-cell lymphomas - Malignant neoplasms,C84.5,31,7840781,0.4
,Alabama,1,"B-cell lymphoma, unspecified - Malignant neoplasms",C85.1,66,7840781,0.8
,Alabama,1,"Non-Hodgkin lymphoma, unspecified type",C85.9,436,7840781,5.6
,Alabama,1,Multiple myeloma - Malignant neoplasms,C90.0,448,7840781,5.7
,Alabama,1,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,27,7840781,0.3
,Alabama,1,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,137,7840781,1.7
,Alabama,1,"Lymphoid leukaemia, unspecified - Malignant neoplasms",C91.9,14,7840781,Unreliable
,Alabama,1,Acute myeloid leukaemia - Malignant neoplasms,C92.0,276,7840781,3.5
,Alabama,1,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,41,7840781,0.5
,Alabama,1,Acute myelomonocytic leukaemia - Malignant neoplasms,C92.5,14,7840781,Unreliable
,Alabama,1,Other myeloid leukaemia - Malignant neoplasms,C92.7,14,7840781,Unreliable
,Alabama,1,"Myeloid leukaemia, unspecified - Malignant neoplasms",C92.9,18,7840781,Unreliable
,Alabama,1,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,53,7840781,0.7
,Alabama,1,"Leukaemia, unspecified - Malignant neoplasms",C95.9,149,7840781,1.9
,Alabama,1,Malignant neoplasms of independent (primary) multiple sites,C97,95,7840781,1.2
,Alabama,1,"Meninges, unspecified - Benign neoplasms",D32.9,12,7840781,Unreliable
,Alabama,1,"Trachea, bronchus and lung - Uncertain neoplasms",D38.1,14,7840781,Unreliable
,Alabama,1,"Brain, unspecified - Uncertain neoplasms",D43.2,63,7840781,0.8
,Alabama,1,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,202,7840781,2.6
,Alabama,1,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,30,7840781,0.4
,Alabama,1,Connective and other soft tissue - Uncertain neoplasms,D48.1,23,7840781,0.3
,Alabama,1,"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms",D48.9,13,7840781,Unreliable
,Alabama,1,Iron deficiency anaemia secondary to blood loss (chronic),D50.0,10,7840781,Unreliable
,Alabama,1,Sickle-cell anaemia without crisis,D57.1,27,7840781,0.3
,Alabama,1,"Aplastic anaemia, unspecified",D61.9,40,7840781,0.5
,Alabama,1,Acute posthaemorrhagic anaemia,D62,19,7840781,Unreliable
,Alabama,1,"Anaemia, unspecified",D64.9,81,7840781,1
,Alabama,1,Disseminated intravascular coagulation [defibrination syndrome],D65,38,7840781,0.5
,Alabama,1,"Coagulation defect, unspecified",D68.9,47,7840781,0.6
,Alabama,1,"Thrombocytopenia, unspecified",D69.6,13,7840781,Unreliable
,Alabama,1,Agranulocytosis,D70,16,7840781,Unreliable
,Alabama,1,"Immunodeficiency, unspecified",D84.9,13,7840781,Unreliable
,Alabama,1,Sarcoidosis of lung,D86.0,17,7840781,Unreliable
,Alabama,1,"Sarcoidosis, unspecified",D86.9,57,7840781,0.7
,Alabama,1,"Hypothyroidism, unspecified",E03.9,53,7840781,0.7
,Alabama,1,"Insulin-dependent diabetes mellitus, with renal complications",E10.2,23,7840781,0.3
,Alabama,1,"Insulin-dependent diabetes mellitus, without complications",E10.9,47,7840781,0.6
,Alabama,1,"Non-insulin-dependent diabetes mellitus, with renal complications",E11.2,153,7840781,2
,Alabama,1,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,32,7840781,0.4
,Alabama,1,"Non-insulin-dependent diabetes mellitus, with multiple complications",E11.7,24,7840781,0.3
,Alabama,1,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,376,7840781,4.8
,Alabama,1,"Unspecified diabetes mellitus, with coma",E14.0,15,7840781,Unreliable
,Alabama,1,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,100,7840781,1.3
,Alabama,1,"Unspecified diabetes mellitus, with renal complications",E14.2,312,7840781,4
,Alabama,1,"Unspecified diabetes mellitus, with neurological complications",E14.4,10,7840781,Unreliable
,Alabama,1,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,59,7840781,0.8
,Alabama,1,"Unspecified diabetes mellitus, with other specified complications",E14.6,14,7840781,Unreliable
,Alabama,1,"Unspecified diabetes mellitus, with multiple complications",E14.7,39,7840781,0.5
,Alabama,1,"Unspecified diabetes mellitus, without complications",E14.9,1018,7840781,13
,Alabama,1,"Hypoglycaemia, unspecified",E16.2,36,7840781,0.5
,Alabama,1,Unspecified severe protein-energy malnutrition,E43,74,7840781,0.9
,Alabama,1,Unspecified protein-energy malnutrition,E46,224,7840781,2.9
,Alabama,1,Other obesity,E66.8,92,7840781,1.2
,Alabama,1,"Obesity, unspecified",E66.9,76,7840781,1
,Alabama,1,Pure hypercholesterolaemia,E78.0,52,7840781,0.7
,Alabama,1,"Hyperlipidaemia, unspecified",E78.5,147,7840781,1.9
,Alabama,1,Organ-limited amyloidosis,E85.4,15,7840781,Unreliable
,Alabama,1,Volume depletion,E86,61,7840781,0.8
,Alabama,1,Hyperosmolality and hypernatraemia,E87.0,40,7840781,0.5
,Alabama,1,Hypo-osmolality and hyponatraemia,E87.1,17,7840781,Unreliable
,Alabama,1,Acidosis,E87.2,105,7840781,1.3
,Alabama,1,Hyperkalaemia,E87.5,55,7840781,0.7
,Alabama,1,Fluid overload,E87.7,12,7840781,Unreliable
,Alabama,1,"Disorders of plasma-protein metabolism, not elsewhere classified",E88.0,10,7840781,Unreliable
,Alabama,1,"Metabolic disorder, unspecified",E88.9,42,7840781,0.5
,Alabama,1,Multi-infarct dementia,F01.1,36,7840781,0.5
,Alabama,1,"Vascular dementia, unspecified",F01.9,353,7840781,4.5
,Alabama,1,Unspecified dementia,F03,4608,7840781,58.8
,Alabama,1,Delirium superimposed on dementia,F05.1,23,7840781,0.3
,Alabama,1,"Delirium, unspecified",F05.9,20,7840781,0.3
,Alabama,1,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,31,7840781,0.4
,Alabama,1,"Mental and behavioural disorders due to use of alcohol, harmful use",F10.1,87,7840781,1.1
,Alabama,1,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,121,7840781,1.5
,Alabama,1,"Mental and behavioural disorders due to use of opioids, harmful use",F11.1,97,7840781,1.2
,Alabama,1,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder",F11.9,32,7840781,0.4
,Alabama,1,"Mental and behavioural disorders due to use of cocaine, harmful use",F14.1,30,7840781,0.4
,Alabama,1,"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder",F14.9,16,7840781,Unreliable
,Alabama,1,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder",F17.9,113,7840781,1.4
,Alabama,1,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use",F19.1,83,7840781,1.1
,Alabama,1,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder",F19.9,10,7840781,Unreliable
,Alabama,1,"Depressive episode, unspecified",F32.9,18,7840781,Unreliable
,Alabama,1,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,F54,16,7840781,Unreliable
,Alabama,1,Unspecified mental retardation,F79,13,7840781,Unreliable
,Alabama,1,"Meningitis, unspecified",G03.9,16,7840781,Unreliable
,Alabama,1,"Encephalitis, myelitis and encephalomyelitis, unspecified",G04.9,14,7840781,Unreliable
,Alabama,1,Huntington disease,G10,35,7840781,0.4
,Alabama,1,Motor neuron disease,G12.2,206,7840781,2.6
,Alabama,1,Parkinson disease,G20,901,7840781,11.5
,Alabama,1,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski],G23.1,12,7840781,Unreliable
,Alabama,1,Alzheimer disease with late onset,G30.1,41,7840781,0.5
,Alabama,1,"Alzheimer disease, unspecified",G30.9,3337,7840781,42.6
,Alabama,1,Circumscribed brain atrophy,G31.0,16,7840781,Unreliable
,Alabama,1,"Senile degeneration of brain, not elsewhere classified",G31.1,247,7840781,3.2
,Alabama,1,Other specified degenerative diseases of nervous system,G31.8,84,7840781,1.1
,Alabama,1,"Degenerative disease of nervous system, unspecified",G31.9,20,7840781,0.3
,Alabama,1,Multiple sclerosis,G35,93,7840781,1.2
,Alabama,1,"Epilepsy, unspecified",G40.9,32,7840781,0.4
,Alabama,1,"Status epilepticus, unspecified",G41.9,51,7840781,0.7
,Alabama,1,Sleep apnoea,G47.3,30,7840781,0.4
,Alabama,1,"Polyneuropathy, unspecified",G62.9,13,7840781,Unreliable
,Alabama,1,Myasthenia gravis,G70.0,34,7840781,0.4
,Alabama,1,"Myoneural disorder, unspecified",G70.9,11,7840781,Unreliable
,Alabama,1,Muscular dystrophy,G71.0,19,7840781,Unreliable
,Alabama,1,"Infantile cerebral palsy, unspecified",G80.9,47,7840781,0.6
,Alabama,1,"Hemiplegia, unspecified",G81.9,10,7840781,Unreliable
,Alabama,1,"Paraplegia, unspecified",G82.2,22,7840781,0.3
,Alabama,1,"Tetraplegia, unspecified",G82.5,36,7840781,0.5
,Alabama,1,Normal-pressure hydrocephalus,G91.2,11,7840781,Unreliable
,Alabama,1,"Hydrocephalus, unspecified",G91.9,14,7840781,Unreliable
,Alabama,1,"Anoxic brain damage, not elsewhere classified",G93.1,489,7840781,6.2
,Alabama,1,"Encephalopathy, unspecified",G93.4,152,7840781,1.9
,Alabama,1,Compression of brain,G93.5,15,7840781,Unreliable
,Alabama,1,Other specified disorders of brain,G93.8,11,7840781,Unreliable
,Alabama,1,"Disorder of brain, unspecified",G93.9,17,7840781,Unreliable
,Alabama,1,Mitral stenosis,I05.0,14,7840781,Unreliable
,Alabama,1,"Mitral valve disease, unspecified",I05.9,41,7840781,0.5
,Alabama,1,Disorders of both mitral and aortic valves,I08.0,19,7840781,Unreliable
,Alabama,1,Essential (primary) hypertension,I10,606,7840781,7.7
,Alabama,1,Hypertensive heart disease with (congestive) heart failure,I11.0,247,7840781,3.2
,Alabama,1,Hypertensive heart disease without (congestive) heart failure,I11.9,678,7840781,8.6
,Alabama,1,Hypertensive renal disease with renal failure,I12.0,270,7840781,3.4
,Alabama,1,Hypertensive renal disease without renal failure,I12.9,16,7840781,Unreliable
,Alabama,1,Hypertensive heart and renal disease with (congestive) heart failure,I13.0,15,7840781,Unreliable
,Alabama,1,Hypertensive heart and renal disease with renal failure,I13.1,51,7840781,0.7
,Alabama,1,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,52,7840781,0.7
,Alabama,1,Acute subendocardial myocardial infarction,I21.4,65,7840781,0.8
,Alabama,1,"Acute myocardial infarction, unspecified",I21.9,3505,7840781,44.7
,Alabama,1,Other forms of acute ischaemic heart disease,I24.8,10,7840781,Unreliable
,Alabama,1,"Acute ischaemic heart disease, unspecified",I24.9,44,7840781,0.6
,Alabama,1,"Atherosclerotic cardiovascular disease, so described",I25.0,1197,7840781,15.3
,Alabama,1,Atherosclerotic heart disease,I25.1,3716,7840781,47.4
,Alabama,1,Ischaemic cardiomyopathy,I25.5,242,7840781,3.1
,Alabama,1,Other forms of chronic ischaemic heart disease,I25.8,24,7840781,0.3
,Alabama,1,"Chronic ischaemic heart disease, unspecified",I25.9,689,7840781,8.8
,Alabama,1,Pulmonary embolism without mention of acute cor pulmonale,I26.9,457,7840781,5.8
,Alabama,1,Primary pulmonary hypertension,I27.0,10,7840781,Unreliable
,Alabama,1,Other secondary pulmonary hypertension,I27.2,171,7840781,2.2
,Alabama,1,"Pulmonary heart disease, unspecified",I27.9,59,7840781,0.8
,Alabama,1,"Disease of pericardium, unspecified",I31.9,10,7840781,Unreliable
,Alabama,1,Acute and subacute infective endocarditis,I33.0,47,7840781,0.6
,Alabama,1,Mitral (valve) insufficiency,I34.0,71,7840781,0.9
,Alabama,1,Aortic (valve) stenosis,I35.0,283,7840781,3.6
,Alabama,1,Aortic (valve) insufficiency,I35.1,18,7840781,Unreliable
,Alabama,1,"Aortic valve disorder, unspecified",I35.9,49,7840781,0.6
,Alabama,1,"Endocarditis, valve unspecified",I38,145,7840781,1.8
,Alabama,1,Dilated cardiomyopathy,I42.0,88,7840781,1.1
,Alabama,1,Other hypertrophic cardiomyopathy,I42.2,13,7840781,Unreliable
,Alabama,1,"Cardiomyopathy, unspecified",I42.9,467,7840781,6
,Alabama,1,"Atrioventricular block, complete",I44.2,19,7840781,Unreliable
,Alabama,1,Other specified conduction disorders,I45.8,134,7840781,1.7
,Alabama,1,"Sudden cardiac death, so described",I46.1,184,7840781,2.3
,Alabama,1,"Cardiac arrest, unspecified",I46.9,2996,7840781,38.2
,Alabama,1,Ventricular tachycardia,I47.2,35,7840781,0.4
,Alabama,1,Atrial fibrillation and flutter,I48,634,7840781,8.1
,Alabama,1,Ventricular fibrillation and flutter,I49.0,110,7840781,1.4
,Alabama,1,"Cardiac arrhythmia, unspecified",I49.9,925,7840781,11.8
,Alabama,1,Congestive heart failure,I50.0,3763,7840781,48
,Alabama,1,Left ventricular failure,I50.1,17,7840781,Unreliable
,Alabama,1,"Heart failure, unspecified",I50.9,616,7840781,7.9
,Alabama,1,"Myocarditis, unspecified",I51.4,14,7840781,Unreliable
,Alabama,1,"Cardiovascular disease, unspecified",I51.6,552,7840781,7
,Alabama,1,Cardiomegaly,I51.7,75,7840781,1
,Alabama,1,Other ill-defined heart diseases,I51.8,40,7840781,0.5
,Alabama,1,"Heart disease, unspecified",I51.9,936,7840781,11.9
,Alabama,1,"Subarachnoid haemorrhage from intracranial artery, unspecified",I60.7,10,7840781,Unreliable
,Alabama,1,"Subarachnoid haemorrhage, unspecified",I60.9,199,7840781,2.5
,Alabama,1,"Intracerebral haemorrhage in hemisphere, subcortical",I61.0,12,7840781,Unreliable
,Alabama,1,"Intracerebral haemorrhage in hemisphere, unspecified",I61.2,11,7840781,Unreliable
,Alabama,1,Intracerebral haemorrhage in brain stem,I61.3,38,7840781,0.5
,Alabama,1,Intracerebral haemorrhage in cerebellum,I61.4,15,7840781,Unreliable
,Alabama,1,"Intracerebral haemorrhage, intraventricular",I61.5,28,7840781,0.4
,Alabama,1,"Intracerebral haemorrhage, unspecified",I61.9,537,7840781,6.8
,Alabama,1,Subdural haemorrhage (acute)(nontraumatic),I62.0,229,7840781,2.9
,Alabama,1,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,379,7840781,4.8
,Alabama,1,Cerebral infarction due to thrombosis of precerebral arteries,I63.0,12,7840781,Unreliable
,Alabama,1,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,I63.2,27,7840781,0.3
,Alabama,1,Cerebral infarction due to embolism of cerebral arteries,I63.4,46,7840781,0.6
,Alabama,1,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,I63.5,18,7840781,Unreliable
,Alabama,1,Other cerebral infarction,I63.8,22,7840781,0.3
,Alabama,1,"Cerebral infarction, unspecified",I63.9,281,7840781,3.6
,Alabama,1,"Stroke, not specified as haemorrhage or infarction",I64,2797,7840781,35.7
,Alabama,1,"Cerebral aneurysm, nonruptured",I67.1,27,7840781,0.3
,Alabama,1,Cerebral atherosclerosis,I67.2,280,7840781,3.6
,Alabama,1,Other specified cerebrovascular diseases,I67.8,174,7840781,2.2
,Alabama,1,"Cerebrovascular disease, unspecified",I67.9,396,7840781,5.1
,Alabama,1,Sequelae of cerebral infarction,I69.3,32,7840781,0.4
,Alabama,1,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,218,7840781,2.8
,Alabama,1,Sequelae of other and unspecified cerebrovascular diseases,I69.8,95,7840781,1.2
,Alabama,1,Generalized and unspecified atherosclerosis,I70.9,124,7840781,1.6
,Alabama,1,Dissection of aorta [any part],I71.0,114,7840781,1.5
,Alabama,1,"Thoracic aortic aneurysm, ruptured",I71.1,23,7840781,0.3
,Alabama,1,"Thoracic aortic aneurysm, without mention of rupture",I71.2,16,7840781,Unreliable
,Alabama,1,"Abdominal aortic aneurysm, ruptured",I71.3,69,7840781,0.9
,Alabama,1,"Abdominal aortic aneurysm, without mention of rupture",I71.4,35,7840781,0.4
,Alabama,1,"Aortic aneurysm of unspecified site, ruptured",I71.8,35,7840781,0.4
,Alabama,1,"Aortic aneurysm of unspecified site, without mention of rupture",I71.9,22,7840781,0.3
,Alabama,1,Aneurysm of unspecified site,I72.9,18,7840781,Unreliable
,Alabama,1,"Peripheral vascular disease, unspecified",I73.9,215,7840781,2.7
,Alabama,1,Embolism and thrombosis of unspecified artery,I74.9,11,7840781,Unreliable
,Alabama,1,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,69,7840781,0.9
,Alabama,1,"Hypotension, unspecified",I95.9,44,7840781,0.6
,Alabama,1,Other and unspecified disorders of circulatory system,I99,93,7840781,1.2
,Alabama,1,"Influenza with pneumonia, influenza virus identified",J10.0,11,7840781,Unreliable
,Alabama,1,"Influenza with other respiratory manifestations, influenza virus identified",J10.1,17,7840781,Unreliable
,Alabama,1,"Influenza with pneumonia, virus not identified",J11.0,36,7840781,0.5
,Alabama,1,"Influenza with other respiratory manifestations, virus not identified",J11.1,19,7840781,Unreliable
,Alabama,1,Pneumonia due to Streptococcus pneumoniae,J13,35,7840781,0.4
,Alabama,1,Pneumonia due to staphylococcus,J15.2,29,7840781,0.4
,Alabama,1,"Bacterial pneumonia, unspecified",J15.9,36,7840781,0.5
,Alabama,1,"Bronchopneumonia, unspecified",J18.0,20,7840781,0.3
,Alabama,1,"Lobar pneumonia, unspecified",J18.1,13,7840781,Unreliable
,Alabama,1,"Pneumonia, unspecified",J18.9,1895,7840781,24.2
,Alabama,1,"Bronchitis, not specified as acute or chronic",J40,16,7840781,Unreliable
,Alabama,1,"Emphysema, unspecified",J43.9,244,7840781,3.1
,Alabama,1,Chronic obstructive pulmonary disease with acute lower respiratory infection,J44.0,662,7840781,8.4
,Alabama,1,"Chronic obstructive pulmonary disease with acute exacerbation, unspecified",J44.1,168,7840781,2.1
,Alabama,1,Other specified chronic obstructive pulmonary disease,J44.8,47,7840781,0.6
,Alabama,1,"Chronic obstructive pulmonary disease, unspecified",J44.9,4437,7840781,56.6
,Alabama,1,"Asthma, unspecified",J45.9,104,7840781,1.3
,Alabama,1,Bronchiectasis,J47,20,7840781,0.3
,Alabama,1,Coalworker pneumoconiosis,J60,10,7840781,Unreliable
,Alabama,1,Pneumoconiosis due to asbestos and other mineral fibres,J61,33,7840781,0.4
,Alabama,1,Pneumonitis due to food and vomit,J69.0,551,7840781,7
,Alabama,1,Adult respiratory distress syndrome,J80,129,7840781,1.6
,Alabama,1,Pulmonary oedema,J81,51,7840781,0.7
,Alabama,1,Other interstitial pulmonary diseases with fibrosis,J84.1,350,7840781,4.5
,Alabama,1,"Interstitial pulmonary disease, unspecified",J84.9,219,7840781,2.8
,Alabama,1,Pyothorax without fistula,J86.9,15,7840781,Unreliable
,Alabama,1,"Pleural effusion, not elsewhere classified",J90,37,7840781,0.5
,Alabama,1,"Pneumothorax, unspecified",J93.9,14,7840781,Unreliable
,Alabama,1,Acute respiratory failure,J96.0,136,7840781,1.7
,Alabama,1,Chronic respiratory failure,J96.1,107,7840781,1.4
,Alabama,1,"Respiratory failure, unspecified",J96.9,357,7840781,4.6
,Alabama,1,Other disorders of lung,J98.4,125,7840781,1.6
,Alabama,1,"Diseases of mediastinum, not elsewhere classified",J98.5,11,7840781,Unreliable
,Alabama,1,Other specified respiratory disorders,J98.8,27,7840781,0.3
